Dealer Name,Address,City,State,County,ZipCode,OEM #1,Sales,Service,Financing,Dealer Website,Dealer Phone,Dealer Email,Facebook Link,Google Score,# Google,lat,lng
A-PROFESSIONAL HEATING & A/C LLC,"1200 MCKASKLE DR, HAMMOND, Louisiana,  70403",HAMMOND,Louisiana,Tangipahoa,70403,Generac,Yes,No,No,,985-467-0114,,,,,30.4854143,-90.47230739999999
GENERATORS UNLIMITED,"34372 Robbie Lee Dr, Denham Springs, Louisiana, 70706",Denham Springs,Louisiana,Livingston,70706,Generac,Yes,No,No,www.generatorsunlimited.biz,225-906-0042,,,,,30.565709,-90.939165
"AIR-COOL REFRIGERATION, LLC","501 NORTH THIRD STREET, KENTWOOD, Louisiana, 70444",KENTWOOD,Louisiana,Tangipahoa,70444,Generac,No,Yes,No,,985-229-7018,,,,,30.9494036,-90.50852909999999
TANGI ELECTRIC & MAINTENANCE CO INC,"PO BOX 2516, HAMMOND, Louisiana, 70404",HAMMOND,Louisiana,Tangipahoa,70404,Generac,No,Yes,No,http://www.tangielectric.com,985-542-9124,,,,,30.5040918,-90.46136179999999
Spear Electric LLC,"81 Log Cabin Rd NW, Roxie, Mississippi, 39661",Roxie,Mississippi,Franklin,39661,Generac,No,Yes,No,,601-597-2344,,,,,31.5453525,-91.13167089999999
IDEAL GENERATORS INC,"34787 HWY 16 SUITE A, DENHAM SPRINGS, Louisiana, 70706",DENHAM SPRINGS,Louisiana,Livingston,70706,Generac,No,Yes,No,,225-933-9219,,,,,30.5723436,-90.95585129999999
"BUCKHAULTS ELECTRIC SERVICES, LLC","600 HARRISON STREET, ELLISVILLE, Mississippi, 39437",ELLISVILLE,Mississippi,Jones,39437,Generac,Yes,No,No,,601-477-2061,,,,,31.6070927,-89.2069545
"HILLTOP POWER PRODUCTS, LLC","76 CARY KIRKLAND ROAD, POPLARVILLE, Mississippi, 39470",POPLARVILLE,Mississippi,Pearl River,39470,Generac,Yes,Yes,No,,601-403-9646,,,,,30.8310601,-89.5637326
BRADFORD ELECTRIC,"1 81-A BETTY SANDERSON ROAD, WAYNESBORO, Mississippi, 39367",WAYNESBORO,Mississippi,Wayne,39367,Generac,Yes,Yes,No,,601-735-9225,,,,,31.5841463,-88.83369119999999
WHITFIELD HEATING & AIR INC,"75 CRYSTAL CREEK, HATTIESBURG, Mississippi, 39402",HATTIESBURG,Mississippi,Forrest,39402,Generac,Yes,No,No,,601-264-9969,,,,,31.292939,-89.459013
JOE'S ELECTRICAL,"900 Spring Hill Rd, Poplarville, Mississippi, 39470",Poplarville,Mississippi,Pearl River,39470,Generac,Yes,No,No,,601-310-4342,,,,,30.9239641,-89.55575119999999
Beacon Power Systems,"18072 Hwy 49, SAUCIER, Mississippi, 39501",SAUCIER,Mississippi,Harrison,39501,Generac,Yes,Yes,Yes,www.beaconpowers.com,228-832-9500,,,,,30.54577909999999,-89.1185021
"3RD ROCK ENERGY SOLUTIONS, LLC","15701 LEMOYNE BLVD, BILOXI, Mississippi, 39532",BILOXI,Mississippi,Harrison,39532,Generac,Yes,Yes,No,www.brice-electric.com,228-207-4584,,,,,30.442204,-88.8714064
"BRICE ELECTRIC, LLC","14301 CREOSOTE ROAD, GULFPORT, Mississippi, 39503",GULFPORT,Mississippi,Harrison,39503,Generac,Yes,Yes,No,,228-863-3232,,,,,30.426957,-89.0786
DOLEAC ELECTRIC COMPANY INC,"12503 DEDEAUX RD, GULFPORT, Mississippi, 39503",GULFPORT,Mississippi,Harrison,39503,Generac,No,Yes,No,,228-831-9777,,,,,30.4493025,-89.0517881
"K & R Services, Inc.","1911 Kenneth Ave, Pascagoula, Mississippi, 39567",Pascagoula,Mississippi,Jackson,39567,Generac,No,Yes,No,www.kandrservices.com,251-649-5902,,,,,30.3719972,-88.5435033
DON HEMBREE HEAT & A/C INC.,"7921 TANNER WILLIAMS RD. STE. E, MOBILE, Alabama, 36608",MOBILE,Alabama,Mobile,36608,Generac,Yes,Yes,No,,,,,,,30.69416,-88.2279624
LAMEY ELECTRIC INC,"1088 COLUMBUS ST, BILOXI, Mississippi, 39530",BILOXI,Mississippi,Harrison,39530,Generac,Yes,No,No,,228-436-3611,,,,,30.4061267,-88.9028166
"SEAL ELECTRICAL, INC","16049 N. BIG HILL ROAD, GULFPORT, Mississippi, 39503",GULFPORT,Mississippi,Harrison,39503,Generac,Yes,No,No,,228-323-4954,,,,,30.5169119,-89.20973649999999
A&C ELECTRIC,"20609 BASCH ROAD, LONG BEACH, Mississippi, 39560",LONG BEACH,Mississippi,Harrison,39560,Generac,Yes,No,No,,228-437-1892,,,,,30.39593929999999,-89.1853107
"CCS INDUSTRIAL SALES, INC.","3062 Hwy 43 North, PICAYUNE, Mississippi, 39466",PICAYUNE,Mississippi,Pearl River,39466,Generac,Yes,No,No,www.ccsboilers.com,601-798-5400,,,,,30.5520806,-89.68286959999999
MINTO ELECTRIC INC,"7350 HOWELLS FERRY ROAD, MOBILE, Alabama, 36618",MOBILE,Alabama,Mobile,36618,Generac,Yes,No,No,,251-344-8932,,,,,30.7167164,-88.21406689999999
"MILLENNIUM CONSTRUCTION, LLC.","3254 MALLET RD. SUITE C., D'IBERVILLE, Mississippi, 39540",D'IBERVILLE,Mississippi,Harrison,39540,Generac,No,Yes,No,www.millennium-construction.com,228-331-1616,,,,,30.4579858,-88.8910007
VALESTRO BUILDING GROUP LLC,"BILOXI, BILOXI, Mississippi, 39532",BILOXI,Mississippi,Harrison,39532,Generac,No,Yes,No,www.valestrobuildinggroupllc.com,228-860-0097,,,,,30.5007553,-88.96053649999999
"MILLER CO., INC.","14376 COUNTY FARM ROAD, GULFPORT, Mississippi, 39503",GULFPORT,Mississippi,Harrison,39503,Generac,No,Yes,No,www.millercoinc.com,228-832-3352,,,,,30.4935869,-89.17714699999999
TOTAL SITE MAINTENANCE INC.,"9325 JOHNSON ROAD SOUTH, MOBILE, Alabama, 36695",MOBILE,Alabama,Mobile,36695,Generac,No,Yes,No,www.tsmcorp.net,251-442-5166,,,,,30.624453,-88.26143599999999
"EARLEY AIR CONTROL, INC.","8042 Wards Ln, Semmes, Alabama, 36575",Semmes,Alabama,Mobile,36575,Generac,No,Yes,No,,251-649-1026,,,,,30.757691,-88.23075600000001
GULF SALES & SUPPLY INC.,"1909 KENNETH AVE, PASCAGOULA, Mississippi, 39568",PASCAGOULA,Mississippi,Jackson,39568,Generac,Yes,No,No,,228-762-0268,,,,,30.3721402,-88.5442209
